,order,vt
0,"[0, 0, 0, 0, 0, 0, 0]",99999
2,[1 2 3 4],0.017530528069077553
3,[1 2 4 3],0.021416672967132788
4,[1 3 2 4],0.017171348511705195
5,[1 3 4 2],0.02368445873410449
6,[1 4 2 3],0.02049130140097727
7,[1 4 3 2],0.02311834267895374
8,[2 1 3 4],0.01743563569121212
9,[2 1 4 3],0.02131964261255684
10,[2 3 1 4],0.01701204705581802
11,[2 3 4 1],0.023991844976285176
12,[2 4 1 3],0.020338356943160912
13,[2 4 3 1],0.023434338422742867
14,[3 1 2 4],0.016700837227164242
15,[3 1 4 2],0.02317433838864033
16,[3 2 1 4],0.01663609064993589
17,[3 2 4 1],0.023581881522074383
18,[3 4 1 2],0.022198840793035607
19,[3 4 2 1],0.022672239234423713
20,[4 1 2 3],0.019937857620476993
21,[4 1 3 2],0.022594918793479232
22,[4 2 1 3],0.019870887194485723
23,[4 2 3 1],0.02302170212885539
24,[4 3 1 2],0.022136473338766713
25,[4 3 2 1],0.022630263213791815
