step,Sequence,Gain
0,"[3, 4, 1, 2]",0.017027250494334054
1,"[3, 4, 2, 1]",0.022198859864507287
2,"[4, 3, 2, 1]",0.022136458841426718
3,"[4, 1, 2, 3]",0.023021688809714655
4,"[3, 1, 2, 4]",0.01945435684623245
5,"[2, 1, 3, 4]",0.021319645990129393
6,"[2, 3, 1, 4]",0.020330479434460702
7,"[2, 4, 1, 3]",0.02267224460749309
8,"[1, 4, 2, 3]",0.023460875565050027
9,"[1, 3, 2, 4]",0.02049130373152988
10,"[1, 2, 3, 4]",0.021416675640123173
11,"[3, 2, 1, 4]",0.019389683310834627
12,"[3, 2, 4, 1]",0.023174335619097763
13,"[1, 2, 4, 3]",0.024026914151603296
