step,Sequence,Gain
0,"[1, 3, 5, 2, 4]",0.03192813131925379
1,"[1, 3, 4, 2, 5]",0.03153276988662421
2,"[1, 3, 2, 4, 5]",0.03249045240694967
3,"[5, 3, 2, 4, 1]",0.03940184454006586
4,"[3, 1, 2, 4, 5]",0.03191084458933702
5,"[4, 1, 2, 3, 5]",0.030182718145391363
6,"[4, 1, 3, 2, 5]",0.02980215805932318
7,"[3, 1, 4, 2, 5]",0.03096040979190537
8,"[2, 1, 4, 3, 5]",0.03217283999228396
9,"[2, 3, 4, 1, 5]",0.03125611505283549
10,"[2, 5, 4, 1, 3]",0.035173553588160544
11,"[4, 5, 2, 1, 3]",0.03321738830931939
12,"[4, 5, 3, 1, 2]",0.0359791740540753
13,"[4, 1, 3, 5, 2]",0.038124642745214266
14,"[3, 1, 5, 4, 2]",0.039335608949543105
15,"[3, 2, 5, 4, 1]",0.03977811735763867
16,"[5, 2, 3, 4, 1]",0.03983664534146812
17,"[5, 2, 4, 3, 1]",0.03921517393376146
18,"[5, 4, 2, 3, 1]",0.03816704945905759
19,"[5, 4, 2, 1, 3]",0.034240381288563895
20,"[5, 1, 2, 4, 3]",0.03640816271380977
21,"[2, 1, 5, 4, 3]",0.03736199218118108
22,"[4, 1, 5, 2, 3]",0.03427787179273539
23,"[4, 2, 1, 5, 3]",0.035245734006523644
24,"[5, 2, 1, 4, 3]",0.03633381679240534
25,"[1, 2, 5, 4, 3]",0.03750919052747814
26,"[1, 4, 5, 2, 3]",0.03550547885975211
27,"[1, 3, 5, 4, 2]",0.03997982753837945
28,"[1, 3, 2, 5, 4]",0.03294390242474349
29,"[1, 3, 5, 2, 4]",0.03192813131925379
30,"[3, 4, 5, 2, 1]",0.03774171493060724
31,"[5, 4, 3, 2, 1]",0.03773804239733712
32,"[5, 1, 3, 2, 4]",0.031208722872332575
33,"[5, 1, 3, 4, 2]",0.03936221578492034
34,"[2, 1, 3, 4, 5]",0.03274284706017383
35,"[2, 5, 3, 4, 1]",0.039603728118896536
36,"[3, 5, 2, 4, 1]",0.038775576127527744
37,"[3, 4, 2, 5, 1]",0.03881251307602274
38,"[2, 4, 3, 5, 1]",0.039711634046648264
39,"[1, 4, 3, 2, 5]",0.030968128972106795
40,"[2, 4, 3, 1, 5]",0.03069201673306296
41,"[3, 4, 2, 1, 5]",0.029880013759518625
